,acc,loss,val_acc,val_loss
0,0.95385,0.11385782772004605,0.956,0.10699693605303764
1,0.9652,0.08910570571571588,0.966,0.0783571819048375
2,0.97165,0.07625653227940202,0.944,0.1371419258490205
3,0.97295,0.06768151258379221,0.972,0.07373620953410864
4,0.97725,0.060372751410584895,0.972,0.07854542176797986
5,0.97975,0.0527370567895472,0.9745,0.0677033599987626
6,0.98085,0.05016436369568109,0.962,0.10579932760447264
7,0.98195,0.0481056467260234,0.9765,0.06052900171931833
8,0.98425,0.04233660623133183,0.9755,0.0644439571723342
9,0.9856,0.039818481151852755,0.975,0.06456064877659082
