,acc,loss,val_acc,val_loss
0,0.7266,0.5477984943389893,0.7125,0.5555912730693817
1,0.76275,0.4998637738227844,0.8165,0.4006089046001434
2,0.77995,0.48091724350452425,0.8185,0.3955652136802673
3,0.794,0.4576625175237656,0.842,0.3671106612682343
4,0.804,0.43789565312862394,0.846,0.35424665999412536
5,0.81395,0.42152561295032503,0.7765,0.5542497038841248
6,0.82195,0.41607648136615755,0.854,0.34043161845207215
7,0.8256,0.4061455446481705,0.858,0.3241714460849762
8,0.8306,0.3894773891568184,0.8755,0.316289315700531
9,0.83585,0.383752644944191,0.793,0.6004636046886445
